policy_loss,approxkl,time_elapsed,serial_timesteps,nupdates,eplenmean,eprewmean,total_timesteps,explained_variance,fps,policy_entropy,clipfrac,value_loss,score
-0.00493356,0.00615507,29234.19262123108,116736,57,130.39,39.28286252,1867776,0.9668117538094521,74,23.6105,0.0717224,0.672483,39.2828624829
-0.00581262,0.00651285,29679.38191509247,118784,58,130.79,39.41721499,1900544,0.972925553098321,73,23.6035,0.0795746,0.541254,39.4172149617
-0.00507508,0.00638377,30121.192046642303,120832,59,128.21,38.93168862,1933312,0.9772640690207481,74,23.5553,0.0752136,0.454642,38.9316886471
-0.00495821,0.00617148,30566.271301031113,122880,60,126.31,38.53481564,1966080,0.9807821940630674,73,23.5259,0.0716309,0.363073,38.5348156883
-0.00544809,0.0067272,31005.135563135147,124928,61,129.34,39.65674762,1998848,0.9845235738903284,74,23.509,0.0833191,0.29797,39.6567476781
-0.00464707,0.006427,31428.253056764603,126976,62,127.96,39.35545693,2031616,0.9880007999017835,77,23.4694,0.0765228,0.236566,39.3554569293
-0.0058269,0.00680829,31857.030636548996,129024,63,128.77,39.61489111,2064384,0.9888722384348512,76,23.3874,0.0832916,0.206397,39.6148911533
-0.00531945,0.00651248,32285.63401865959,131072,64,128.16,39.6387037,2097152,0.9901921581476927,76,23.2956,0.0771545,0.165698,39.6387036508
-0.00487995,0.00604542,32720.892968416214,133120,65,127.48,39.57392963,2129920,0.9918382912874222,75,23.266,0.0692993,0.133214,39.5739296744
-0.00609113,0.00657742,33155.63185620308,135168,66,128.61,40.00380394,2162688,0.9924650629982352,75,23.2117,0.0795593,0.109251,40.0038039341
-0.00611779,0.00676969,33597.26839876175,137216,67,126.18,39.32568219,2195456,0.9938020766712725,74,23.1429,0.0820496,0.0815865,39.3256821785
-0.00629815,0.00688755,34038.79820036888,139264,68,126.84,39.67410718,2228224,0.9945930205285549,74,23.106,0.0855133,0.0671158,39.6741071771
-0.00701536,0.00745045,34484.46508312225,141312,69,126.89,39.85210924,2260992,0.9953732741996646,73,23.0453,0.095227,0.0534146,39.8521092383
-0.00679809,0.00763439,34929.49560856819,143360,70,124.88,39.3903417,2293760,0.9958428866229951,73,22.9525,0.0984802,0.0437613,39.3903417381
-0.00693585,0.00783321,35378.11969637871,145408,71,126.48,40.09703604,2326528,0.9966222937218845,73,22.882,0.103513,0.0331594,40.0970360782
-0.0083607,0.00851981,35834.1301779747,147456,72,126.73,40.28575658,2359296,0.9965729385148734,71,22.7678,0.115176,0.0337416,40.2857566158
-0.00727297,0.00873321,36294.89716005325,149504,73,127.65,40.88890057,2392064,0.9930290919728577,71,22.6922,0.118158,0.0783526,40.8889005554
-0.00890013,0.00986373,36756.30041384697,151552,74,130.68,41.96306222,2424832,0.9839144255965948,71,22.6506,0.136841,0.198301,41.9630622599
-0.007195,0.00952398,37217.541430711746,153600,75,128.22,41.64426339,2457600,0.9814667198807001,71,22.5682,0.134091,0.231536,41.6442633258
-0.00945237,0.00960439,37679.071647405624,155648,76,132.42,42.79512975,2490368,0.9782602395862341,70,22.4903,0.13526,0.282582,42.7951297369
-0.00749847,0.0106176,38198.14619684219,157696,77,132.63,42.7998365,2523136,0.953814335167408,63,22.4093,0.151355,0.616121,42.7998365091
-0.00807047,0.0090868,38691.350818157196,159744,78,137.61,43.80273237,2555904,0.9286754503846169,66,22.3749,0.123334,1.01812,43.8027323694
-0.00805895,0.00928402,39184.67643070221,161792,79,137.54,44.96863892,2588672,0.9521723166108131,66,22.2907,0.128271,0.76808,44.9686389468
-0.00810579,0.00934538,39663.00322461128,163840,80,137.74,43.87157295,2621440,0.9553961418569088,68,22.245,0.12753,0.685386,43.8715729362
-0.00722741,0.00895067,40163.770743370056,165888,81,135.62,44.83723326,2654208,0.9482680074870586,65,22.2459,0.123624,0.761659,44.8372333236
-0.00806147,0.00965098,40653.61241555214,167936,82,139.74,45.81675375,2686976,0.9443774819374084,66,22.2331,0.134509,0.880873,45.8167536944
-0.00619362,0.00839511,41159.03283715248,169984,83,141.47,46.79036401,2719744,0.9512538313865662,64,22.1899,0.112842,0.760689,46.7903640087
-0.00941609,0.0095854,41645.90583515167,172032,84,140.58,47.36181063,2752512,0.9769405592232943,67,22.1658,0.133118,0.358416,47.3618106624
-0.00820669,0.00896798,42146.95681834221,174080,85,142.09,47.70434535,2785280,0.9648601487278938,65,22.1279,0.123151,0.556182,47.7043453399
-0.00847213,0.00862754,42662.34311079979,176128,86,142.76,48.06303674,2818048,0.9663048684597015,63,22.1147,0.118369,0.541944,48.0630366973
-0.00814475,0.00923294,43169.04263019562,178176,87,142.74,48.49558598,2850816,0.980652341619134,64,22.079,0.127524,0.310745,48.4955860071
